common_name,tree_registry_id,tree_nickname,tree_score,height_(m),DBH_(m),crown_spread_(m),last _measured,year_nominated,location,nearest_town,ownership,ownership_details,latitude,longitude,elevation_m,access_notes,tree_site_notes,Principle nominator,Co-nominator 1,Co-nominator 2,Co-nominator 3,Verifier,has_photo
western larch,564,Moe's #2,319,55,1.19,10.5,2019,2021,Moe's Canyon Trail,Kimberley,Provincial land,Kimberly Nordic Area,49.666708,-116.012277,1350,"Drive up Gerry Sorensen Way, past Kimberley Alpine Resort and continue until the road becomes North Star Drive. The Nordic Club is at the end of North Star Drive.  Take any of the fun trails around to the south end of the Centennial loop to Iker's landing.  Then take Landsem south.  About half way along Landsem look for a smaller trail marked Moe's Canyon/Magic Line.  Follow this steep up to the top of hill.  You are now looking north at the old growth larch patch.  Magic line cuts right, to the east of the patch.  Moe's Canyon Trail goes north past the largest trees and continues past the Mussers Plateau Trail junction and north into Moe's Canyon.  Moe's #2 is 20m west of the trail, about 50m NNW of the Magic line junction.  From this junction look for a tall dead top, it belongs to a mostly dead western larch, about 20m west of our tree.  This and the other tallest trees in Moes are also visible from the south end of Larch Loop Trail.  Moes #1, Moes #2 and the dead top larch are also visible from around the first switchback on Musser's trail.","This tree is in a one ha patch of old growth western larch/douglas fir/spruce growing in a flat area right at the south end of Moe's Canyon.  Logging occured in 2006 to the south and east of this patch and elsewhere within the Kimberley Nordic Trails area.  This tree is easily missed since it is west of the trail by 20m, just north of the more open logged area.  This tree has a deep, 2m fire scar at the base but otherwise seems to be in great condition.  ",Dave Hale,,,,Henning Barth,1
western larch,565,Moe's #3,336,42,1.36,15.5,2019,2021,Moe's Canyon Trail,Kimberley,Provincial land,Kimberly Nordic Area,9.667208,-116.012128,1350,"Drive up Gerry Sorensen Way, past Kimberley Alpine Resort and continue until the road becomes North Star Drive. The Nordic Club is at the end of North Star Drive.  Take any of the fun trails around to the south end of the Centennial loop to Iker's landing.  Then take Landsem south.  About half way along Landsem look for a smaller trail marked Moe's Canyon/Magic Line.  Follow this steep up to the top.  You are now looking north at the old growth larch patch.  Magic line cuts right, to the east of the patch and Moe's Canyon Trail goes north through the patch past the Mussers Plateau Trail junction and continues north into Moe's Canyon.  Moe's #1 is just east of the trail, about 60m north of the Magic line junction.  Moe's #3 is 35m further, 15m east of the trail. This and the other tallest trees in Moes are also visible from the south end of Larch Loop Trail. ","This tree has a small burn scar at the base, a large burl at 18m, broken top at 39m and a Y-shaped live top.  This would be the highest ranking tree in this area if not for the broken top. It does have the largest circumference and crown size, and the most majestic look overall.",Dave Hale,,,,Dave Hale,1
Sitka spruce,566,Harris Spruce,707,61,4,14.5,2020,2021,Harris Creek,Honeymoon Bay,Provincial land,,48.66039,-124.22555,166,"About 20 kilometres (12 mi) from Port Renfrew, or 8 kilometres (5.0 mi) from Lizard lake when driving toward Honeymoon Bay. There is a small sign for the tree on the right-hand side of the road, when driving northeast. There is a substantial dirt parking area, and a short, flat path leads to the tree roughly 70m to the east.","Flat bench, only about 5 m west of Harris Creek with much younger big leaf maple and Sitka spruce surrounding it",Ira Sutherland,Sharlene Kaoti-Salgado,,,Ira Sutherland,1
amabilis fir,567,Wax Palm,363,61.1,1.27,6,2020,2021,Upper Valley Trail,Youbou,Parks/reserves,Carmanah PP,48.67264,-124.6809,188,Hike northward along Upper Valley Trail to gps location. The tree is inconspciously in a dense grove about 30m west of trail. - likely not possible to find without gps coordinates. ,Dense forest and adjacent to trail.,Ira Sutherland,Sharlene Kaoti-Salgado,,,Ira Sutherland,1
amabilis fir,568,,351,55.3,1.34,4.3,2020,2021,Upper Valley Trail,Youbou,Parks/reserves,Carmanah PP,48.66475,-124.69024,185,"Hike Northward along Upper Valley Trail to gps location. The tree is highly visible from the trail, at a point roughly 60m to the south. It is located only about 10m from the trail at the top of an eroding cut bank. ",Grows on upper bench with other Amabilis fir and some Sitka Spruce. Is located near to a cut bank being eroded by Carmanah River,Ira Sutherland,Sharlene Kaoti-Salgado,,,Ira Sutherland,1
coastal Douglas-fir,569,Chek Talus Giant,477,65,2.03,16.2,2020,2021,Chek Canyon Rec. Site,Squamish,Provincial land,,49.90432,-123.15537,451,Follow trail south from upper parking lot at Chek Recreation Site for about 700m to gps points. The tree has a large talus field to its east and is highly visible from the talus field and from further down the canyon to the south. Many other impressive firs are visible around this talus slope.  ,Lower slope position along the bottom of a mossy talus slope. ,Toby Foord-Kelcey,Ira Sutherland,,,Ira Sutherland,1
western redcedar*,570,Caycuse Giant,,,4.67,,2020,2021,Caycuse watershed,Lake Cowichan,Tree Farm Lic.,46,48.767895,-124.544667,,Starting from Lake Cowichan take South Shore Main to Caycuse Main until you can drop down onto Haddon Main. Follow that to the end of the road where you see a new cutblock where my before & after photos were taken. Drive through the cutblock until you can access a spur road that takes you down across a creek and up the adjacent hillside. Halfway up this road park. The tree is up hill on the left above the road cut. Use GPS for final way-finding. ,"This tree is an absolute giant. It has a massive, burly base and a super thick trunk that towers skyward to a multi-forked top. It appears to be within a retention patch but only 50ft away from the falling boundary tape of a planned cutblock nearby. Other giants exists in the forest around it as well. A true wonder to behold.",TJ Watt,,,,,1
coastal Douglas-fir,571,LT# 2521-001,613,60.2,3.26,14.6,2020,2021,West Antler,Port Alberni,Provincial land,BCTS Legacy Tree,49.251206,-125.167674,,West Antler Main. Steep rough road.,Good health. Broken top. No scarring or sign of rot on main stem.,BCTS Legacy Trees,,,,Greg Herringer,0
coastal Douglas-fir,572,LT# 2521-002,658,57.6,3.64,22.9,2020,2021,West Antler,Port Alberni,Provincial land,BCTS Legacy Tree,49.246364,-125.171022,590,West Antler Main. Steep rough road.,Very good health. Intact top,BCTS Legacy Trees,,,,Greg Herringer,0
coastal Douglas-fir,573,LT# 2521-002,578,63.8,2.85,20.1,2019,2021,West Antler,Port Alberni,Provincial land,BCTS Legacy Tree,49.246364,-125.169425,570,West Antler Main. Steep rough road.,Very good health. Top intact. Windfirm,BCTS Legacy Trees,,,,Greg Herringer,0
coastal Douglas-fir,574,LT# C3YD-001,530,58.6,2.61,18.3,2019,2021,Nahmint,Port Alberni,Provincial land,BCTS Legacy Tree,49.193486,-125.091296,,Hike up RS004 off Riverside Main. Access via Nahmint Main,Very good health. Large frost crack on NW face. Large burls @5m on N side of trunk,BCTS Legacy Trees,,,,Greg Herringer,0
coastal Douglas-fir,575,LT# C3YD-002,484,49.9,2.48,17.1,2020,2021,Nahmint,Port Alberni,Provincial land,BCTS Legacy Tree,49.19169,-125.089528,197,Hike up RS004 off Riverside Main. Access via Nahmint Main,Good health. Broken top. Windfirm in large leave area,BCTS Legacy Trees,,,,Greg Herringer,0
coastal Douglas-fir,576,LT# 068-013,660,59.4,3.62,21.7,2019,2021,Nahmint,Port Alberni,Provincial land,BCTS Legacy Tree,hidden,,,Sensitive ecosystem - exact location withheld,Very good health. Windfirm. Located in large OGMA.,BCTS Legacy Trees,,,,Greg Herringer,0
coastal Douglas-fir,577,LT# 068-014,576,69.1,2.72,16.1,2019,2021,Nahmint,Port Alberni,Provincial land,BCTS Legacy Tree,49.182444,-125.070238,,Adjacent to small unofficall campsite at mouth of Nahmint River. Riverside Main. Access via Nahmint Main,Good health. Lake/creek side embankments becoming undercut and eroded. Windfirm.,BCTS Legacy Trees,,,,Greg Herringer,0
coastal Douglas-fir,578,LT# C3YE-001,522,58.8,2.57,13.6,2020,2021,Nahmint,Port Alberni,Provincial land,BCTS Legacy Tree,49.177762,-125.063968,,"Riverside Main, 300m north of junction with RS038 (road to Blackie's Beach Forest Service campsite.  Access via Nahmint Main",Poor health. Broken/dead to with severe rot apparent above major limb at 24m.,BCTS Legacy Trees,,,,Greg Herringer,0
coastal Douglas-fir,579,LT# Alsp-010,489,60.2,2.21,21.9,2019,2021,Valhalla Grove,Port Alberni,Provincial land,BCTS Legacy Tree,hidden,,732,Sensitive ecosystem - exact location withheld,"Very good health. Located on edge of rock bluff. Lean of 15°, windfirm",BCTS Legacy Trees,,,,Greg Herringer,0
western white pine*,580,,314,34.8,1.54,11.8,2020,2021,Nahmint,Port Alberni,Provincial land,BCTS Legacy Tree,49.173048,-125.069418,320,Take spur to the right 400m past junction of Riverside Main and RS038 (Blackie's Beach road). Access Riverside Main via Nahmint Main.,Fair health,BCTS Legacy Trees,,,,Greg Herringer,0
Pacific yew*,581,LT# ALcu107-002,196,30.5,0.74,5.3,2020,2021,Cous,Port Alberni,Provincial land,BCTS Legacy Tree,hidden,,,Sensitive ecosystem - exact location withheld,Excellent health,BCTS Legacy Trees,,,,Greg Herringer,1
yellow-cedar*,582,LT# ALcu107-001,402,40.5,2.1,11.1,2020,2021,Valhalla Grove,Port Alberni,Provincial land,BCTS Legacy Tree,hidden,,,Sensitive ecosystem - exact location withheld,Excellent health. Active bear den in base of tree.,BCTS Legacy Trees,,,,Greg Herringer,4
yellow-cedar*,583,LT# 0974-001,404,47.8,1.93,10.5,2020,2021,Valhalla Grove,Port Alberni,Provincial land,BCTS Legacy Tree,hidden,,773,Sensitive ecosystem - exact location withheld,Good health,BCTS Legacy Trees,,,,Greg Herringer,0
yellow-cedar*,584,LT# 0974-002,470,43.7,2.56,11.9,2020,2021,Valhalla Grove,Port Alberni,Provincial land,BCTS Legacy Tree,hidden,,765,Sensitive ecosystem - exact location withheld,Good health. Broken top. Active bear den,BCTS Legacy Trees,,,,Greg Herringer,4
yellow-cedar*,585,LT# 0974-003,391,39.6,2.03,12.8,2020,2021,Valhalla Grove,Port Alberni,Provincial land,BCTS Legacy Tree,hidden,,765,Sensitive ecosystem - exact location withheld,Good health. Bear den.,BCTS Legacy Trees,,,,Greg Herringer,0
yellow-cedar*,586,LT# 0974-004,372,40.5,1.85,13.1,2020,2021,Valhalla Grove,Port Alberni,Provincial land,BCTS Legacy Tree,hidden,,764,Sensitive ecosystem - exact location withheld,Good health. Broken top. ,BCTS Legacy Trees,,,,Greg Herringer,1
yellow-cedar*,587,LT# 0974-005,389,37.7,2.03,17.1,2020,2021,Valhalla Grove,Port Alberni,Provincial land,BCTS Legacy Tree,hidden,,758,Sensitive ecosystem - exact location withheld,Good health. Broken top. Located on edge of steep gully,BCTS Legacy Trees,,,,Greg Herringer,1
yellow-cedar*,588,LT# 0974-006,443,43.6,2.32,15.5,2020,2021,Valhalla Grove,Port Alberni,Provincial land,BCTS Legacy Tree,hidden,,765,Sensitive ecosystem - exact location withheld,Good health. Broken top,BCTS Legacy Trees,,,,Greg Herringer,1
